Election District,County,Borough,Assembly District,City Council District
001/65,New York,Manhattan,65,1
002/65,New York,Manhattan,65,1
003/65,New York,Manhattan,65,1
004/65,New York,Manhattan,65,1
005/65,New York,Manhattan,65,1
006/65,New York,Manhattan,65,1
007/65,New York,Manhattan,65,1
008/65,New York,Manhattan,65,1
009/65,New York,Manhattan,65,1
010/65,New York,Manhattan,65,1
011/65,New York,Manhattan,65,1
012/65,New York,Manhattan,65,1
013/65,New York,Manhattan,65,1
014/65,New York,Manhattan,65,1
015/65,New York,Manhattan,65,1
016/65,New York,Manhattan,65,1
017/65,New York,Manhattan,65,1
018/65,New York,Manhattan,65,1
019/65,New York,Manhattan,65,1
020/65,New York,Manhattan,65,1
021/65,New York,Manhattan,65,1
022/65,New York,Manhattan,65,1
023/65,New York,Manhattan,65,1
024/65,New York,Manhattan,65,1
025/65,New York,Manhattan,65,1
026/65,New York,Manhattan,65,1
027/65,New York,Manhattan,65,1
028/65,New York,Manhattan,65,1
029/65,New York,Manhattan,65,1
030/65,New York,Manhattan,65,1
031/65,New York,Manhattan,65,1
032/65,New York,Manhattan,65,1
033/65,New York,Manhattan,65,1
034/65,New York,Manhattan,65,1
035/65,New York,Manhattan,65,1
036/65,New York,Manhattan,65,1
037/65,New York,Manhattan,65,1
038/65,New York,Manhattan,65,1
039/65,New York,Manhattan,65,1
040/65,New York,Manhattan,65,1
041/65,New York,Manhattan,65,1
042/65,New York,Manhattan,65,1
043/65,New York,Manhattan,65,2
044/65,New York,Manhattan,65,2
045/65,New York,Manhattan,65,2
046/65,New York,Manhattan,65,1
047/65,New York,Manhattan,65,1
048/65,New York,Manhattan,65,1
049/65,New York,Manhattan,65,2
050/65,New York,Manhattan,65,2
051/65,New York,Manhattan,65,1
052/65,New York,Manhattan,65,1
053/65,New York,Manhattan,65,1
054/65,New York,Manhattan,65,1
055/65,New York,Manhattan,65,1
056/65,New York,Manhattan,65,1
057/65,New York,Manhattan,65,1
058/65,New York,Manhattan,65,1
059/65,New York,Manhattan,65,1
060/65,New York,Manhattan,65,1
061/65,New York,Manhattan,65,1
062/65,New York,Manhattan,65,1
063/65,New York,Manhattan,65,1
064/65,New York,Manhattan,65,1
065/65,New York,Manhattan,65,1
066/65,New York,Manhattan,65,1
067/65,New York,Manhattan,65,1
068/65,New York,Manhattan,65,1
069/65,New York,Manhattan,65,1
070/65,New York,Manhattan,65,2
071/65,New York,Manhattan,65,1
072/65,New York,Manhattan,65,1
073/65,New York,Manhattan,65,1
074/65,New York,Manhattan,65,1
075/65,New York,Manhattan,65,1
076/65,New York,Manhattan,65,1
077/65,New York,Manhattan,65,2
078/65,New York,Manhattan,65,2
079/65,New York,Manhattan,65,2
080/65,New York,Manhattan,65,1
081/65,New York,Manhattan,65,1
082/65,New York,Manhattan,65,1
083/65,New York,Manhattan,65,2
085/65,New York,Manhattan,65,1
086/65,New York,Manhattan,65,1
087/65,New York,Manhattan,65,1
088/65,New York,Manhattan,65,1
089/65,New York,Manhattan,65,1
090/65,New York,Manhattan,65,1
091/65,New York,Manhattan,65,1
092/65,New York,Manhattan,65,1
093/65,New York,Manhattan,65,1
098/65,New York,Manhattan,65,2
099/65,New York,Manhattan,65,1
001/66,New York,Manhattan,66,1
002/66,New York,Manhattan,66,1
003/66,New York,Manhattan,66,1
004/66,New York,Manhattan,66,1
005/66,New York,Manhattan,66,1
006/66,New York,Manhattan,66,1
007/66,New York,Manhattan,66,1
008/66,New York,Manhattan,66,1
009/66,New York,Manhattan,66,1
010/66,New York,Manhattan,66,1
011/66,New York,Manhattan,66,1
012/66,New York,Manhattan,66,1
013/66,New York,Manhattan,66,1
014/66,New York,Manhattan,66,1
015/66,New York,Manhattan,66,1
016/66,New York,Manhattan,66,1
017/66,New York,Manhattan,66,1
018/66,New York,Manhattan,66,1
019/66,New York,Manhattan,66,1
020/66,New York,Manhattan,66,1
021/66,New York,Manhattan,66,1
022/66,New York,Manhattan,66,1
023/66,New York,Manhattan,66,1
024/66,New York,Manhattan,66,1
025/66,New York,Manhattan,66,1
026/66,New York,Manhattan,66,2
027/66,New York,Manhattan,66,2
028/66,New York,Manhattan,66,2
029/66,New York,Manhattan,66,2
030/66,New York,Manhattan,66,2
031/66,New York,Manhattan,66,2
032/66,New York,Manhattan,66,2
033/66,New York,Manhattan,66,2
034/66,New York,Manhattan,66,2
035/66,New York,Manhattan,66,2
036/66,New York,Manhattan,66,2
037/66,New York,Manhattan,66,2
038/66,New York,Manhattan,66,2
039/66,New York,Manhattan,66,2
040/66,New York,Manhattan,66,3
041/66,New York,Manhattan,66,3
042/66,New York,Manhattan,66,3
043/66,New York,Manhattan,66,2
044/66,New York,Manhattan,66,3
045/66,New York,Manhattan,66,1
046/66,New York,Manhattan,66,1
047/66,New York,Manhattan,66,1
048/66,New York,Manhattan,66,1
049/66,New York,Manhattan,66,1
050/66,New York,Manhattan,66,2
051/66,New York,Manhattan,66,2
052/66,New York,Manhattan,66,2
053/66,New York,Manhattan,66,2
054/66,New York,Manhattan,66,2
055/66,New York,Manhattan,66,2
056/66,New York,Manhattan,66,2
057/66,New York,Manhattan,66,2
058/66,New York,Manhattan,66,3
059/66,New York,Manhattan,66,3
060/66,New York,Manhattan,66,3
061/66,New York,Manhattan,66,3
062/66,New York,Manhattan,66,3
063/66,New York,Manhattan,66,1
064/66,New York,Manhattan,66,3
065/66,New York,Manhattan,66,1
066/66,New York,Manhattan,66,3
067/66,New York,Manhattan,66,3
068/66,New York,Manhattan,66,3
069/66,New York,Manhattan,66,3
070/66,New York,Manhattan,66,3
071/66,New York,Manhattan,66,3
072/66,New York,Manhattan,66,3
073/66,New York,Manhattan,66,3
074/66,New York,Manhattan,66,3
075/66,New York,Manhattan,66,3
076/66,New York,Manhattan,66,3
077/66,New York,Manhattan,66,3
078/66,New York,Manhattan,66,3
079/66,New York,Manhattan,66,3
080/66,New York,Manhattan,66,3
081/66,New York,Manhattan,66,3
082/66,New York,Manhattan,66,3
083/66,New York,Manhattan,66,3
084/66,New York,Manhattan,66,3
085/66,New York,Manhattan,66,3
086/66,New York,Manhattan,66,3
087/66,New York,Manhattan,66,3
088/66,New York,Manhattan,66,3
089/66,New York,Manhattan,66,3
090/66,New York,Manhattan,66,3
091/66,New York,Manhattan,66,1
092/66,New York,Manhattan,66,3
096/66,New York,Manhattan,66,3
097/66,New York,Manhattan,66,1
098/66,New York,Manhattan,66,3
099/66,New York,Manhattan,66,1
100/66,New York,Manhattan,66,1
101/66,New York,Manhattan,66,2
102/66,New York,Manhattan,66,2
103/66,New York,Manhattan,66,2
104/66,New York,Manhattan,66,1
105/66,New York,Manhattan,66,1
106/66,New York,Manhattan,66,2
001/67,New York,Manhattan,67,3
002/67,New York,Manhattan,67,3
003/67,New York,Manhattan,67,3
004/67,New York,Manhattan,67,3
005/67,New York,Manhattan,67,3
006/67,New York,Manhattan,67,3
007/67,New York,Manhattan,67,6
008/67,New York,Manhattan,67,3
009/67,New York,Manhattan,67,3
010/67,New York,Manhattan,67,3
011/67,New York,Manhattan,67,4
012/67,New York,Manhattan,67,3
013/67,New York,Manhattan,67,3
014/67,New York,Manhattan,67,3
015/67,New York,Manhattan,67,3
016/67,New York,Manhattan,67,3
017/67,New York,Manhattan,67,3
018/67,New York,Manhattan,67,3
019/67,New York,Manhattan,67,6
020/67,New York,Manhattan,67,6
021/67,New York,Manhattan,67,6
022/67,New York,Manhattan,67,3
023/67,New York,Manhattan,67,3
024/67,New York,Manhattan,67,3
025/67,New York,Manhattan,67,6
026/67,New York,Manhattan,67,6
027/67,New York,Manhattan,67,6
028/67,New York,Manhattan,67,6
029/67,New York,Manhattan,67,6
030/67,New York,Manhattan,67,6
031/67,New York,Manhattan,67,6
032/67,New York,Manhattan,67,6
033/67,New York,Manhattan,67,6
034/67,New York,Manhattan,67,6
035/67,New York,Manhattan,67,6
036/67,New York,Manhattan,67,6
037/67,New York,Manhattan,67,6
038/67,New York,Manhattan,67,6
039/67,New York,Manhattan,67,6
040/67,New York,Manhattan,67,6
041/67,New York,Manhattan,67,6
042/67,New York,Manhattan,67,6
043/67,New York,Manhattan,67,6
044/67,New York,Manhattan,67,6
045/67,New York,Manhattan,67,6
046/67,New York,Manhattan,67,6
047/67,New York,Manhattan,67,6
048/67,New York,Manhattan,67,6
049/67,New York,Manhattan,67,6
050/67,New York,Manhattan,67,6
051/67,New York,Manhattan,67,3
052/67,New York,Manhattan,67,6
053/67,New York,Manhattan,67,6
054/67,New York,Manhattan,67,6
055/67,New York,Manhattan,67,6
056/67,New York,Manhattan,67,6
057/67,New York,Manhattan,67,6
058/67,New York,Manhattan,67,6
059/67,New York,Manhattan,67,6
060/67,New York,Manhattan,67,6
061/67,New York,Manhattan,67,6
062/67,New York,Manhattan,67,6
063/67,New York,Manhattan,67,6
064/67,New York,Manhattan,67,6
065/67,New York,Manhattan,67,6
066/67,New York,Manhattan,67,6
067/67,New York,Manhattan,67,6
068/67,New York,Manhattan,67,6
069/67,New York,Manhattan,67,6
070/67,New York,Manhattan,67,6
071/67,New York,Manhattan,67,6
072/67,New York,Manhattan,67,6
073/67,New York,Manhattan,67,6
074/67,New York,Manhattan,67,6
075/67,New York,Manhattan,67,6
076/67,New York,Manhattan,67,6
077/67,New York,Manhattan,67,6
078/67,New York,Manhattan,67,6
079/67,New York,Manhattan,67,6
080/67,New York,Manhattan,67,6
